Data Years,Column Variable,Row Variable,Control Variable,Column Filters,Row Filters,Control Filters
2008-2009,AGE,RECMJ_B,,"18, 19",,
2010-2011,AGE,RECMJ_B,ELGMJ_B,"18, 19",,1
